"title","year","actors","directors","country","language","description"
"Tom and Jerry Meet Sherlock Holmes",2010,"Max Charles Michael York Malcolm Mc Dowell John Rhys-Davies Grey De Lisle Jeff Bergman Phil La Marr Greg Ellis Jess Harnell Richard Mc Gonagle Kath Soucie Tom Kenny","Spike Brandt Jeff Siergey","United States","English Spanish French","In Victorian London, an unseen criminal begins masterminding his ""perfect plot on paper"" which starts with a robbery taking place and three cats stealing a pink diamond. Three constables spot them and give chase, but the cats escape to the rooftops and glide off into the night, giving the stolen diamond to a mysterious horseman. The next day Dr. Watson rushes to 221B in Baker Street and informs his colleague Sherlock Holmes of the robbery. Holmes calls Jerry Mouse to bring him a copy of the Times. Jerry heads out to buy it, bumping into Tom Cat on the way, who has something for Holmes. Jerry sends a pile of bricks on Tom and Tom gives chase. Jerry returns to Holmes' flat and hands him the paper or what was left of it after the chase. Reading a letter Tom had given to them, for the night, Holmes and Watson decide to go to the Bruce Nigel Theatre and see a lady named Red. Holmes is told that she is being blackmailed and Holmes suggests the perpetrator might be – Professor Moriarty. Holmes deduces that the Star of Punjab, a diamond that is light sensitive to the light of a solar eclipse which was to happen the following day, is to be stolen by the mastermind of the blackmail."
"Toy Story 3",2010,"Tom Hanks Tim Allen Joan Cusack Don Rickles Wallace Shawn John Ratzenberger Estelle Harris Blake Clark Ned Beatty Michael Keaton Jodi Benson John Morris","Lee Unkrich","United States","English","Seventeen-year-old Andy[11] is about to leave for college, and his toys have not been played with for years. He intends to take Woody with him, and puts Buzz Lightyear, Jessie, and the other toys in a trash bag to be stored in the attic. Andy's mother mistakenly takes the bag to the curb for garbage pickup. The toys escape and, believing Andy intended to throw them away, decide to climb into a donation box with Molly's discarded toy, Barbie, bound for Sunnyside Daycare. Woody follows them, but is unable to convince them of the mistake."
"A Turtle's Tale: Sammy's Adventures",2010,"UK version Gemma Arterton Dominic Cooper John Hurt Kayvan Novak Robert Sheehan U.S. version Melanie Griffith Kathy Griffin Tim Curry Anthony Anderson Stacy Keach","Ben Stassen","Belgium France","English","In 1959, Sammy, a Green sea turtle, hatches on a deserted beach and while trying to climb up a sand slope is caught by a seagull. He manages to escape along with another hatchling sea turtle named Shelly who was caught by a seagull. Sammy falls onto an old raft and gets carried into the open ocean, losing Shelly. Later he befriends a leatherback hatchling named Ray. The two friends grow up together."
"Welcome to the Space Show",2010,NA,"Koji Masunari, Masaaki Yuasa","Japan","Japanese","Welcome to the Space Show, whose story ""surpasses Star Wars in its scale"" according to its producers, tells of the four adventures of five schoolmates and an alien dog in space during summer vacation.[2]"
"What If...",2010,"Kevin Sorbo Kristy Swanson Debby Ryan Taylor Groothius John Ratzenberger Kristin Minter Toni Trucks Stelio Savante","Dallas Jenkins","United States","English","When Ben Walker (Kevin Sorbo) was young, he left his girlfriend Wendy (Kristy Swanson) and his hometown calling for a business opportunity. 15 years later, with a high-paying career and a trophy fiancé, he is visited by Mike (John Ratzenberger), an angel, who gives him a glimpse into what his life would look like had he followed his original plans."
"Winx Club 3D: Magical Adventure",2010,"Letizia Ciampa Perla Liberatori Domitilla D'Amico Ilaria Latini Gemma Donati Laura Lenghi","Iginio Straffi","Italy","Italian","During a party at Alfea, the Trix crash it and take the Compass of Revealed Secrets for the Ancestral Witches. Despite the Winx's efforts, Icy, Stormy and Darcy escape with the compass. Meanwhile, on Domino, Sky proposes to Bloom, but a secret between King Erendor and the destruction of Domino forces Sky to call off the wedding. The rest of the Winx visit Bloom, who is struggling to get over it. The Trix report to the Ancestral Witches on the successful theft. The Trix head to the Tree of Life in Pixie Village to destroy all the good magical energy. On Domino, King Oritel puts Bloom to a showcase of princes to see who she will marry. Sky sneaks in and meets Bloom, saying that he will fix everything. He is soon discovered by an angry King Oritel. He gives Bloom a letter before being forced to leave. Bloom protests what is written on the letter. She is overruled by her father. An angry Bloom transports to Gardenia with the Winx. The Trix arrive at Pixie Village and take over the Tree of Life. This eliminates all good powers, along with the Winx's Believix. Powerless in Gardenia, the Winx turn to Bloom's adoptive parents Mike and Vanessa for shelter. They meet up with the specialists. Meanwhile, the Ancestral Witches learn that there is one tiny source of positive energy left in the universe. They remember giving King Erendor an hourglass with the tree's pollen. This protected Eraklyon when the Witches destroyed Domino. In Gardenia, the Winx meet the specialists and travel to Avram, which is the city with the last known sighting of the pollen. The Trix find Erendor and force him to give them the whereabouts of the pollen."
"Yogi Bear",2010,"Dan Aykroyd Justin Timberlake Anna Faris Tom Cavanagh T.J. Miller Nate Corddry Andrew Daly","Eric Brevig","United States","English","Yogi (Aykroyd) and Boo Boo (Timberlake) are two brown bears who like stealing picnic baskets from visitors to Jellystone Park, while park rangers Smith (Cavanagh) and Jones (Miller) try to prevent the thefts. Meanwhile, Mayor R. Brown (Daly) realizes that Franklin City is facing bankruptcy due to profligate spending on his part. Brown plots with his Chief of Staff (Corddry) to raise money for the town budget (and his upcoming gubernatorial campaign) by shutting down Jellystone Park and opening the land to logging."
"Yu-Gi-Oh!: Bonds Beyond Time",2010,"Yuya Miyashita Shunsuke Kazama Kenn","Kenichi Takeshita","Japan","Japanese English","As Yusei Fudo ponders the state of New Domino City, Jack Atlas and Crow Hogan cheer him up with the idea of riding on their Duel Runners. As they ride, a mysterious Turbo Duelist called Paradox challenges Yusei to a duel. Yusei summons his Stardust Dragon but Paradox seals it inside a card and disappears with it. They later discover an article that shows a mysterious battle in the past of Venice, Italy that Yusei knows did not happen in history before. Compounding the situation, New Domino City is vanishing. As a result, the Crimson Dragon appears, giving Yusei's Duel Runner the ability to travel through time."
"After the Wizard",2011,"Jordan Van Vranken Orien Richman Jermel Nakia","Hugh Gross","United States","English","A 12-year-old Kansas orphan turns to the Scarecrow and the Tin Woodman for help during a difficult time. She imagines that things have not gone well in Oz since the Wizard left and that the Scarecrow and the Tin Woodman must travel to Kansas to find Dorothy. Meanwhile, the orphanage leader gives Dorothy a hard time."
"Alvin and the Chipmunks: Chipwrecked",2011,"Jason Lee David Cross Jenny Slate Justin Long Matthew Gray Gubler Alan Tudyk Jesse Mc Cartney Amy Poehler Anna Faris Christina Applegate","Mike Mitchell[1]","United States","English","Studio albums"
"Arthur Christmas",2011,"James Mc Avoy Hugh Laurie Bill Nighy Jim Broadbent Imelda Staunton Ashley Jensen","Sarah Smith","United Kingdom United States","English","On Christmas Eve, hundreds of Christmas elves helm the command centre of Santa Claus's mile-wide,[6] ultra-high-tech sleigh-esque craft, the S-1. The current Santa (Malcolm) and the Christmas elves deliver presents to every child in the world using advanced equipment and military precision. These complex operations are micromanaged by thousands more elves, under the command of Malcolm's militaristic eldest son Steve and his obsequious elfin assistant Peter at mission control underneath the North Pole. Meanwhile, his younger son - the clumsy, fearful yet enthusiastic Arthur - devotedly answers the letters to Santa. During one of the delivery operations in Germany a child wakes up and almost sees Malcolm; in the tense escape operation, a Christmas elf aboard the S-1 inadvertently leans on a button, causing a present to fall from the supply line and go unnoticed."
"Barbie: A Fairy Secret",2011,"Diana Kaarina Britt Irvin Adrian Petriw Cassandra Morris Kate Higgins Alexandra Carter Brittney Wilson Sergio Pollio","William Lau","United States Canada","English","Barbie is at the premiere of her latest movie when her rival and co-star, Raquelle, steps on her dress, ripping it. Her stylists, Carrie and Taylor, use magic to mend it. Crystal, a photographer, greets Carrie and Taylor and, taking one last picture of Ken, leaves to go back to Gloss Angeles. Crystal shows Princess Graciella the pictures she took at the premiere. She gives the Princess a love potion, which, due to the effects, turns her eyes from blue to purple. Crystal then shows the Princess the picture of Ken she took, and Graciella falls in love with him on the spot."
"Barbie: Princess Charm School",2011,"Diana Kaarina Morwenna Banks Nicole Oliver Brittney Wilson Ali Liebert Shannon Chan-Kent","Zeke Norton","United States Canada","English","Blair Willows is a kind-hearted and somewhat clumsy young girl who lives within the kingdom of Gardenia in a decrepit apartment building with her sickly mother and younger sister, Emily. She works as a waitress at the Cafe Gardenia in order to support their financial burdens."
"Best Player",2011,"Jerry Trainor Jennette Mc Curdy Amir Talai Janet Varney Nick Benson Jean-Luc Bilodeau","Damon Santostefano"," of origin United States",NA,"Quincy Johnson (Jerry Trainor) is a barely unemployed adult gamer who lives at home with his parents. Quincy plays video games under the username ""Q"", and is renowned in the gaming community for his many awards and world records. Much to Quincy's dismay, his parents decide to sell their house, meaning Quincy will need to find a new place of residence. Quincy decides to try to buy the house from them for $175,000. He plans on getting the money from a tournament for a new video game called Black Hole, where the grand prize is $175,500. He discusses the dilemma with his number one fan, Wendell (Amir Talai). While practicing for the tournament, Quincy finds a player named ""Prodigy"" whom he cannot defeat. Quincy and Wendell decide to find out who Prodigy really is to secure Quincy's chance of winning the tournament, also because Quincy needs a place to stay. Wendell picks Quincy up in an ice cream truck, and finds out that Prodigy lives nearby. They seek a plan to beat Prodigy while together."
"Beverly Hills Chihuahua 2",2011,"George Lopez Odette Yustman Zachary Gordon Emily Osment Bridgit Mendler","Alex Zamm","United States","English","Just married, Papi (voiced by George Lopez) and Chloe (voiced by Odette Yustman)[5] are trying to keep up with their five puppies Papi Jr, Lala, Rosa, Ali and Pep (voiced by Zachary Gordon, Madison Pettis, Chantilly Spalan, Delaney Jones and Emily Osment) running around the house, creating problem after problem. However, Papi shows a soft side for the pups and occasionally tells them of their ancient ancestors the Chihuahua Warriors often creating another problem. Aunt Viv (Susan Blakely), Chloe's owner, is in the rain forest for the next 6 months with her niece, Rachel (Erin Cahill) searching for plants for medical research. During this time Sam (Marcus Coloma), Papi's owner and Rachel's boyfriend, is caring for the whole chihuahua family. Sam takes Chloe, Papi and the puppies back home to meet his parents, Mr. and Mrs. Cortez (Castulo Guerra and Lupe Ontiveros)."
"""Big Time Beach Party""",2011,NA,"Savage Steve Holland",NA,NA,"As part of a deal Griffin made with Big Time Rush, they get to use his beach house in Malibu for a day when they get a gold record in any country, as they do. The boys invite almost everyone from the Palm Woods to the beach including Camille, Guitar Dude, the Jennifers and Buddha Bob as well as Jo who can't make it, because of some extra scenes she has to film for her series. Also Mrs. Knight goes after the boys with Katie when she figures out they didn't put sunblock on like she told them, while Gustavo and Kelly plan to destroy Big Time Rush's beach day since Gustavo's previous band ""Boy Blast"" have become overly laid back by their life in beach and their career went downhill."
"Cars 2",2011,"Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro Eddie Izzard","John Lasseter","United States","English","Finn Mc Missile, a British spy, infiltrates the world's largest untapped oil reserves owned by a group of lemon cars. After being discovered, he flees and fakes his death. Lightning Mc Queen, now a four-time Piston Cup champion, returns to Radiator Springs. However, Italian formula race car, Francesco Bernoulli, challenges Mc Queen to the newly created World Grand Prix, led by its creator, Sir Miles Axlerod. Mc Queen, and his best friend Mater — along with Luigi, Guido, Fillmore, and Sarge — depart for Tokyo for the first race of the Grand Prix."
"Chillar Party",2011,"Sanath Menon Rohan Grover Naman Jain Aarav Khanna Vishesh Tiwari Shashank Shende","Nitesh Tiwari Vikas Bahl","India","Hindi","This film is about a gang of innocent but feisty kids who lead carefree lives in Chandan Nagar colony that takes on the big bad world of politics when one of their friend's life is endangered. It starts with an introduction to the lead actors, who live in Chandan Nagar Society. Each of the eight children has his own identity and a nickname based on these qualities. Akram is the fast bowler (Ramashankar), Encyclopedia is the mastermind (Arjun). Not only that, but their whole team has a nickname – CHILLAR PARTY. They explain that they have mainly two enemies with the 'oversized' neighbouring cricket team to whom they always lose, and a dog to whom they have given a name – Loose Motion, since it has a tendency to make messes. So they develop an enmity against dogs. Their hopes are shattered shortly after a boy- Fatka who was employed for washing the cars of the society, enters with his dog Bhidu. They do everything to throw the boy and his dog out, but become unsuccessful. Eventually they develop a friendship with each other as Fatka helps them by serving as the lead bowler during the match with the neighbouring cricket team. But their happiness is short-lived when a reckless politician, welfare minister Shashikant Bhide, enters their life after his personal secretary is attacked by Bhidu for hurting Fatka."
"Diary of a Wimpy Kid: Rodrick Rules",2011,"Zachary Gordon Devon Bostick Rachael Harris Robert Capron Steve Zahn","David Bowers","United States","English","The Heffley family attends a party at a roller rink, where Greg Heffley reunites with his best friend Rowley Jefferson, meets a new girl at school named Holly Hills who Greg instantly has a crush on, and reveals he passed on the Cheese Touch. During the party, his older brother Rodrick embarrasses Greg by suggesting that he ask Holly to skate with him and then interfering with Couples Skate by persuading a crowd of violent teenagers to enter the rink, along with replacing ""Always"" by Atlantic Starr with a heavy metal song. This prompts Greg's parents (who misunderstand this) to speak to Greg on the rink's public address system and then carry him off the rink. Greg, extremely angry with Rodrick for humiliating him, tries to tackle him, but he misses and in turn, lands in Taylor Pringle's birthday cake. She and her friends then proceed to beat up Greg as the intro starts."
"The Dragon Pearl",2011,"Sam Neill Wang Ji Robert Mammone Jordan Chan Li Lin Jin Louis Corbett","Mario Andreacchio","Australia China",NA,"When teenagers Josh (Louis Corbett) and Ling (Li Lin Jin) join their respective parents, Chris (Sam Neill) and Dr. Li (Wang Ji) on an archaeological dig in China they encounter something trapped beneath a temple beyond their wildest imagination. A real live Chinese dragon.[1] Two thousand years earlier, to defend his kingdom, the dragon lent an emperor his all powerful pearl. Instead of being returned the pearl was buried with the emperor beneath his palace, and helpless without its source of power the dragon has remained entombed ever since.[1] With the Dragon Pearl buried on the excavation site, Josh and Ling implore their parents for help, but met with disbelief the children realize they must find the pearl on their own. However thereʼs one who does believe them: archaeologist Philip Dukas (Robert Mammone), who wants to seize the pearlʼs awesome power for his own sinister ambitions. The only way to stop him is for Josh and Ling to get to it first and return it to its rightful owner.[1]"
"A Fairly Odd Movie:
Grow Up, Timmy Turner!",2011,"Drake Bell Steven Weber Daniella Monet Jason Alexander Cheryl Hines Teryl Rothery Daran Norris Susanne Blakeslee Tara Strong David Lewis Mark Gibbon Randy Jackson","Savage Steve Holland"," of origin United States Canada",NA,"Thirteen years after the timeline and finale of the original series, Timmy Turner (Drake Bell) has grown into a twenty-three-year-old adult by maintaining a lifestyle considered extremely immature for his age. He has done so to keep his fairy godparents. Timmy's refusal to mature greatly irritates his parents (who desperately encourage him to move out) and Jorgen von Strangle (Mark Gibbon), who is constantly scheming to entice Timmy into giving up his fairies."
"From Up on Poppy Hill",2011,"Masami Nagasawa Junichi Okada Keiko Takeshita Yuriko Ishida Jun Fubuki Takashi Naito Shunsuke Kazama Nao Omori Teruyuki Kagawa","Gorō Miyazaki","Japan","Japanese","Umi Matsuzaki is a sixteen-year-old student attending Isogo High School living in 'Coquelicot Manor', a boarding house overlooking the Port of Yokohama in Japan. Her mother, Ryoko, is a medical professor studying abroad in the United States. Umi runs the house and looks after her younger siblings, Sora and Riku, and her grandmother, Hana. College student Sachiko Hirokouji, and doctor-in-training Miki Hokuto, also live there. Each morning, Umi raises a set of signal flags with the message ""I pray for safe voyages""."
"Gnomeo & Juliet",2011,"James Mc Avoy Emily Blunt Michael Caine Maggie Smith Jason Statham Jim Cummings Matt Lucas Patrick Stewart Ashley Jensen Stephen Merchant Dolly Parton Ozzy Osbourne","Kelly Asbury","United Kingdom[1]United States[1]","English","Mrs. Montague and Mr. Capulet (Julie Walters and Richard Wilson) are two elderly neighbours who despise each other. When they leave their respective gardens, their garden gnomes and other lawn ornaments come alive. The Montague garden is filled with blue-hat gnomes led by Lady Bluebury (Maggie Smith), and the Capulet garden has red-hat gnomes led by Lord Redbrick (Michael Caine). Like their human gardeners, the gnomes also despise each other."
"The Great Bear",2011,"Markus Rygaard","Esben Toft Jacobsen","Denmark","Danish",NA
"The Gruffalo's Child",2011,"Helena Bonham Carter Rob Brydon Robbie Coltrane James Corden Shirley Henderson John Hurt Tom Wilkinson","Johannes Weiland Uwe Heidschotter"," of origin United Kingdom Germany",NA,NA
"Happy Feet Two",2011,"Elijah Wood Robin Williams Hank Azaria Alecia Moore (Pink)Brad Pitt Matt Damon Sofia Vergara Common Hugo Weaving Richard Carter Magda Szubanski Anthony La Paglia","George Miller","United States Australia","English","Erik, son of the penguins Mumble and Gloria, is unable to dance like the other penguins. Erik and his two best friends, Bodicea and Atticus, follow Ramon to Adélie-Land and find that Adélie-Land has been ruled by a God-like ""penguin"" named Sven. Sven is actually a puffin in Adélie-Land who survived the loss of his native fishing grounds due to his ""miraculous"" ability to fly. Erik instantly becomes enamored with Sven, who takes a liking to him. Sven and Lovelace tell the others that they were saved by humans. The two eventually flee (under Sven's mistaken assumption that the humans were going to eat them) and end up on Antarctica, where Sven performs his first miracle by revealing moss to the local penguins. Sven uses his power of ""Sven Think"" to help Ramon find a mate. Ramon instantly falls in love with Carmen, another Adélie penguin who is uninterested. Mumble follows the chicks' footprints to Adélie-Land and orders them to return to Emperor-Land, but they refuse. Sven sends Erik back to Emperor-Land with Mumble."
"Harry Potter and the Deathly Hallows – Part 2",2011,"Daniel Radcliffe Rupert Grint Emma Watson Helena Bonham Carter Robbie Coltrane Warwick Davis Ralph Fiennes Michael Gambon John Hurt Jason Isaacs Gary Oldman Alan Rickman Maggie Smith David Thewlis Julie Walters","David Yates","United Kingdom United States","English","After burying Dobby, Harry Potter asks the goblin, Griphook, to help him, Ron, and Hermione break into Bellatrix Lestrange's vault at Gringotts bank, suspecting that a Horcrux might be there. Griphook agrees, in exchange for the Sword of Gryffindor. Wandmaker Ollivander tells Harry that two wands taken from Malfoy Manor belonged to Bellatrix and to Draco Malfoy, but Malfoy's has changed its allegiance to Harry."
"Hoodwinked Too! Hood vs. Evil",2011,"Glenn Close Cheech Marin Tommy Chong Hayden Panettiere Amy Poehler Martin Short Patrick Warburton","Mike Disa","United States","English","Wolf (Patrick Warburton), Granny (Glenn Close), and Twitchy (Cory Edwards) are on a rescue mission to save Hansel and Gretel (Bill Hader and Amy Poehler) from an evil witch named Verushka (Joan Cusack). The plan goes wrong however and Granny is kidnapped as well. Meanwhile, Red (Hayden Panettiere) is in training with a mysterious group called the Sisters of the Hood where she learns that a secret all powerful truffle recipe has been stolen. She teams up with Wolf and Twitchy to find the recipe and save her grandma, but she and Wolf can't get along and the team splits up. Meanwhile, Verushka, who stole the truffle recipe, tries to force Granny into making it for her."
"Hop",2011,"Russell Brand James Marsden Kaley Cuoco Hank Azaria Hugh Laurie","Tim Hill","United States","English","On Easter Island, a young rabbit named E.B. is intended to succeed his father as the Easter Bunny. Intimidated by the calling's demands and ignoring his father's orders, E.B. runs away to Hollywood to pursue his dream of becoming a drummer. So his father sends the Pink Berets out to find him. Meanwhile, Carlos the Chick plots a coup d'état against him to take over Easter."
"Horrid Henry: The Movie",2011,"Theo Stevenson Ross Maron Richard E. Grant Parminder Nagra Kimberley Walsh Mathew Horne Siobhan Hayes Dick and Dom Noel Fielding Jo Brand Anjelica Huston","Nick Moore","United Kingdom","English","Horrid Henry uses his magnetic yoyo to steal cookies from Moody Margaret's Secret Club. Before he can eat them, his mother tells him to do his homework. The next morning, Henry searches for his homework, only to find that after he left it on the dining room table, the other members of the household variously spilled milk on it, stepped on it, and squashed it into the couch, leaving it a mess. He leaves it behind and has his friend Brainy Brian forge a note from his mother saying his cat ate it. His teacher, Miss Battle-Axe, realizes the note is forged and that Henry did not do it himself, since Brian spelled ""homework"" correctly, something Henry is incapable of doing. With Henry in detention, his friends join him to practice for a talent contest. Miss Oddbod, the headteacher, and a pair of school inspectors walk in on their rehearsal."
"Hugo",2011,"Ben Kingsley Sacha Baron Cohen Asa Butterfield Chloë Grace Moretz Ray Winstone Emily Mortimer Christopher Lee Jude Law","Martin Scorsese","France United Kingdom United States","English","In 1931, 12-year-old Hugo Cabret (Asa Butterfield) lives in Paris with his father (Jude Law), a kind but widowed clockmaker who also works part-time at a museum. One day, his father finds a broken automaton, a mechanical man designed to write with a pen, at the museum, and Hugo and he try to repair it, his father documenting the automaton in a notebook. When his father is killed by a fire at the museum, Hugo is forced to live with his resentful, alcoholic uncle Claude (Ray Winstone), and made to learn how to maintain the clocks at the railway station of Gare Montparnasse. When Claude goes missing for several days, Hugo continues to maintain the clocks, fearing that he would be sent away as an orphan by the vindictive Station Inspector Gustave (Sacha Baron Cohen) if Claude's absence is discovered. Hugo attempts to repair the automaton with stolen parts, believing it contains a message from his father, but the machine still requires a heart-shaped key that his father could not find."
"I Am Kalam",2010,"Harsh Mayar Gulshan Grover Pitobash Tripathy Beatrice Ordeix","Nila Madhab Panda","India","Hindi","This Film is shot in Bikaner, Rajasthan of India ."
"Judy Moody and the Not Bummer Summer",2011,"Jordana Beatty Heather Graham Parris Mosteller Taylar Hender Jaleel White","John Schultz[1]","United States Mexico","English","The movie tells the story of a feisty third-grader, Judy Moody, who sets out to have the most thrilling summer of her life. However, her parents (Kristoffer Winters and Janet Varney) are going to California to help Judy's grandparents. Judy and her brother Stink (Parris Mosteller) have to stay with their Aunt Opal (Heather Graham). Judy decides to organize a contest with her friends to see who can have the most exciting summer. To win the contest, you must have a certain amount of ""thrill points"". At the start of her summer, it starts to go badly. All of her friends leave and go to someplace on a summer vacation, except for Frank (Preston Bailey). Amy was going to Borneo and Rocky was going to Circus Camp. Her friends keep sending her pictures of their summer, so she tries to top them, so she can earn more thrill points than them. But Frank was ruining all her plans because he knocked Judy off a tight rope, puked all over her on a roller coaster, and left the theater in the middle of a scary movie. All of her ideas go wrong, so she decides to stay in her room for the rest of the summer, until she hears the newscast in front of her house. She looks out of the window and discovers that Stink is going to be on the news, because of his search for Bigfoot. She runs outside and tries to jump into the camera, but unfortunately, the camera crew stops the cameras from filming her."
"Koko and the Ghosts",2011,"Antonio Parač","Daniel Kušan","Croatia","Croatian",NA
"Kung Fu Panda 2",2011,"Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Seth Rogen Lucy Liu David Cross James Hong Michelle Yeoh Jackie Chan","Jennifer Yuh Nelson","United States","English","Lord Shen, the scion of a peacock clan that rules Gongmen City in ancient China, seeks to weaponize gunpowder, which had recently been invented to create fireworks. After discovering from the court's goat soothsayer that ""a warrior of black-and-white"" will defeat him if he does not change his ways, Shen leads an army of wolves to exterminate the panda population to avert the prophecy. Shen's parents are horrified at this atrocity and exile their son, who swears revenge."
"Leafie, A Hen into the Wild",2011,"Moon So-ri Yoo Seung-ho Choi Min-sik","Oh Sung-yoon","South Korea","Korean","Leafie (잎싹, leaf (잎) + sprout (싹)) lives on a chicken farm with many other egg-laying hens that are in battery cages. She dreams of being a mother, however she can't incubate her own eggs. Dreaming of having her own young, she devises an escape plan; she faints, causing the farmer to think her dead and take her from the cage to dump with other dead hens. After the farmer leaves, Leafie escapes only to be confronted and threatened by a one-eyed weasel known as One-Eye (애꾸눈 ""Aeggunun""). Her life is saved through the intervention of Wanderer (a mallard duck, 나그네 ""Nagnae"") who helps her to escape but then leaves without a word."
"Legend of a Rabbit",2011," Chinese Dub: Fan Wei Yan Ni Zhang Fengyi Zhang Yishan Pu Cunxin English Dub: Jon Heder Tom Arnold Rebecca Black Michael Clarke Duncan Claire Geare","Sun Yijun","China","Mandarin Chinese","A rabbit named Tu'er has an occupation of cooking pancakes in Beijing. The rabbit is trained by a monkey kung fu master named Laoguanzhu, so he can defeat the master's enemy, a panda named Xiongtianba, who is later revealed that he is a bear. Tu'er surprised at this discovery, confronts Laoguanzhu about the events that occurred. Furious at his accusations Laoguanzhu begins to enlarge until he becomes a giant and then devours Tu'er."
"Little Big Panda",2011,NA,"Michael Schoemann(Assistant) Greg Manwaring","China Germany France Spain Belgium","Mandarin German",NA
"The Little Engine That Could",2011,"Alyson Stoner Whoopi Goldberg Patrick Warburton Jim Cummings Rodney Saulsberry Dominic Scott Kay Brenda Song Jamie Lee Curtis Charlie Schlatter Jodi Benson Corbin Bleu Jeff Bennett Ray Porter Mocean Melvin Chelsea Erinne Evered Michael Rodrigo Khamani Griffin","Elliot M. Bour","United States","English","In Dream Land, Little E. wakes the control tower and the other dream hauler engines up, so she can start work while also dreaming of being a dream hauler. She comes by the birthday train, which consists of a locomotive named Red Engine #35 and a wagon containing a female clown named Beverly, a toy soldier named Major, a toy plane named Ace (who can fly), a ballerina doll named Jillian, two stuffed giraffes named Lou and Bud, and a sock monkey named Hudson. After finding the Caboose for the birthday train, she attempts to follow it to the real world but is stopped by the Tower. She then attempts to pull several boxcars to the Big Locomotive but ends up causing traffic for the other engines, with the Tower reminding her that she is supposed to pull one boxcar at a time due to her small size. She gets a little help from Rusty, an old and wise Engine."
"The Magic of Belle Isle",2012,"Morgan Freeman Virginia Madsen Emma Fuhrmann Madeline Carroll Kenan Thompson Kevin Pollak Fred Willard Nicolette Pierini","Rob Reiner","United States","English","Monte Wildhorn (Freeman) is a famous Western novelist whose struggle to cope with the death of his wife six years earlier has sapped his passion for writing, and has caused him to begin drinking heavily. He takes a lakeside cabin for the summer in picturesque Belle Isle, and befriends the family next door—an attractive single mother (Madsen) and her young daughters, who help him find inspiration again."
"Mars Needs Moms",2011,"Seth Green Dan Fogler Elisabeth Harnois Mindy Sterling Joan Cusack","Simon Wells","United States","English","Unbeknownst to humans, there is a thriving, technologically sophisticated society of Martians living below the surface of Mars. The Martians Supervisor (Mindy Sterling), while observing Earth, sees a mother (Joan Cusack) persuading her pre-teenage son, Milo (motion by Seth Green, voice by Seth Dusky), to do his chores. The Martians decide to bring her to Mars, where her ""momness"" will be extracted and implanted into the next generation of nannybots. Meanwhile, Milo tells his mother in anger that his life would be better without her, breaking her heart."
"A Monster in Paris",2011,"Matthieu Chedid Vanessa Paradis","Bibo Bergeron","France","French English","The film is set in 1910; the story beginning by documenting the flooding of the River Seine that year."
"Monte Carlo",2011,"Selena Gomez Leighton Meester Katie Cassidy","Thomas Bezucha","United States Hungary","English","Grace Bennett (Selena Gomez) is a Texas high-school student who works as a waitress with her best friend, high school dropout Emma Perkins (Katie Cassidy) to earn money for a trip to Paris after graduation. Grace's stepfather pays for her uptight older stepsister Meg Kelly (Leighton Meester) to come with them on the trip. Emma goes to Paris despite her boyfriend Owen's proposal of marriage. The trip quickly proves to be a disappointment-they have been ripped off with a cramped hotel room and a tour that moves too fast for anyone to properly appreciate anything. After being left behind by their tour guide, the three girls seek refuge from the rain in a posh hotel. There, the hotel staff and paparazzi mistake Grace for the spoiled celebutante British heiress Cordelia Winthrop-Scott, Grace's double, who leaves rather than stay to attend an auction for a Romanian charity for which she is to donate an expensive Bulgari necklace. The three girls spend the night in Cordelia's suite, and the next day fly to Monte Carlo with Cordelia's luggage, despite Meg's misgivings."
"Mr. Popper's Penguins",2011,"Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury","Mark Waters","United States","English","Thomas Popper (Jim Carrey), is a divorced real estate entrepreneur whose father traveled around the world during his childhood in the 1970s. He learns that his father has died during an adventure to Antarctica. The following week, a crate containing a gentoo penguin, named Captain, shows up at his door as a souvenir from his father’s last adventure. A few days later, five more penguins arrive. Popper intends to give them away but changes his idea when his children, Janie (Madeline Carroll) and Billy (Maxwell Perry Cotton), think that the animals are Billy's birthday present. At work, Popper is given the task of buying Tavern on the Green, the only privately owned real estate in Central Park that is an old restaurant where he used to eat with his father when he was a child. However, its elderly owner, Selma Van Gundy, will only sell it to a person of true value. Popper has unsuccessful meetings with her, and she refuses to sell the restaurant to him. Having the penguins around helps Popper become closer to his children. He also begins dating their mother, Amanda Popper again. The penguins lay three eggs. Two eggs hatch, and one doesn’t. Popper becomes obsessed with seeing the last egg hatch, losing his job. Popper realizes that the egg can’t be hatched so he decides to donate the penguins to the New York Zoo. Then, he is re-employed but his children and former wife are disappointed by his decision. Popper finds a lost letter from his father telling him to hold his children close and love them. Popper asks his children and former wife to help him get the penguins back from the zoo. They find the penguins, free them and they get away and flee to the tavern. Upon seeing how Popper had reunited his family and saved the penguins, Van Gundy sells him the restaurant. Popper decides to renovate and reopen the restaurant. Popper and his family travel to Antarctica with the penguins, allowing them to live with their own kind. Popper's first penguin, Captain, reveals to have laid another egg. Popper tells his children that they'll visit them when the baby is born."
